num_expediente,fecha,hora,localizacion 1,localizacion 2,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,coordenada_x_utm,coordenada_y_utm,positiva_alcohol
2025S034715,27/03/2025,7:40:00,CALLE ANDRES TORREJON 10,,10,3,RETIRO,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 45 a 49 años,Hombre,442138,4473121,N
2025S034715,27/03/2025,7:40:00,CALLE ANDRES TORREJON 10,,10,3,RETIRO,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 55 a 59 años,Hombre,442138,4473121,N
2025S034717,27/03/2025,9:40:00,"CALLE ALCALA, 233",,233,4,SALAMANCA,Alcance,Despejado,Turismo,Conductor,De 30 a 34 años,Hombre,443652,4475728,N
2025S034717,27/03/2025,9:40:00,"CALLE ALCALA, 233",,233,4,SALAMANCA,Alcance,Despejado,Turismo,Conductor,De 50 a 54 años,Mujer,443652,4475728,N
2025S034720,27/03/2025,9:25:00,CALLE ATOCHA,CALLE LUIS VELEZ DE GUEVARA,24,1,CENTRO,Atropello a persona,Despejado,Turismo,Conductor,De 55 a 59 años,Hombre,440419,4473908,N
2025S034720,27/03/2025,9:25:00,CALLE ATOCHA,CALLE LUIS VELEZ DE GUEVARA,24,1,CENTRO,Atropello a persona,Despejado,Turismo,Peatón,De 21 a 24 años,Mujer,440419,4473908,N
2025S034720,27/03/2025,9:25:00,CALLE ATOCHA,CALLE LUIS VELEZ DE GUEVARA,24,1,CENTRO,Atropello a persona,Despejado,Turismo,Peatón,De 55 a 59 años,Mujer,440419,4473908,N
2025S034721,27/03/2025,10:00:00,"CALLE ALDEANUEVA DE LA VERA, 46",,46,10,LATINA,Colisión lateral,Despejado,Furgoneta,Conductor,De 30 a 34 años,Mujer,434093,4470038,N
2025S034721,27/03/2025,10:00:00,"CALLE ALDEANUEVA DE LA VERA, 46",,46,10,LATINA,Colisión lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,434093,4470038,N
2025S034750,27/03/2025,10:43:00,"AVDA. ANDES, 52",,52,16,HORTALEZA,Alcance,Despejado,Motocicleta > 125cc,Conductor,De 70 a 74 años,Hombre,447662,4478739,N
2025S034750,27/03/2025,10:43:00,"AVDA. ANDES, 52",,52,16,HORTALEZA,Alcance,Despejado,Turismo,Conductor,De 45 a 49 años,Mujer,447662,4478739,N
2025S034752,27/03/2025,10:48:00,"PASEO. CASTELLANA, 286",,286,5,CHAMARTÍN,Alcance,Despejado,Furgoneta,Conductor,De 40 a 44 años,Hombre,441846,4480985,N
2025S034752,27/03/2025,10:48:00,"PASEO. CASTELLANA, 286",,286,5,CHAMARTÍN,Alcance,Despejado,Turismo,Conductor,De 55 a 59 años,Mujer,441846,4480985,N
2025S034753,27/03/2025,9:35:00,AVDA. ALBERTO ALCOCER,CALLE JUAN RAMON JIMENEZ,11,5,CHAMARTÍN,Colisión fronto-lateral,,Furgoneta,Conductor,De 55 a 59 años,Hombre,441734,4478927,N
2025S034753,27/03/2025,9:35:00,AVDA. ALBERTO ALCOCER,CALLE JUAN RAMON JIMENEZ,11,5,CHAMARTÍN,Colisión fronto-lateral,,Turismo,Conductor,De 55 a 59 años,Mujer,441734,4478927,N
2025S034767,27/03/2025,11:52:00,"CALLE VALLEHERMOSO, 114",,114,7,CHAMBERÍ,Colisión lateral,Despejado,Camión rígido,Conductor,De 50 a 54 años,Hombre,439943,4476892,N
2025S034767,27/03/2025,11:52:00,"CALLE VALLEHERMOSO, 114",,114,7,CHAMBERÍ,Colisión lateral,Despejado,Turismo,Conductor,De 40 a 44 años,Mujer,439943,4476892,N
2025S034785,27/03/2025,11:30:00,CALLE SANTA ENGRACIA,PLAZA. ALONSO MARTINEZ,2,7,CHAMBERÍ,Colisión lateral,Despejado,Turismo,Conductor,De 30 a 34 años,Hombre,440987,4475502,N
2025S034785,27/03/2025,11:30:00,CALLE SANTA ENGRACIA,PLAZA. ALONSO MARTINEZ,2,7,CHAMBERÍ,Colisión lateral,Despejado,Turismo,Conductor,De 40 a 44 años,Hombre,440987,4475502,N
2025S034790,27/03/2025,11:10:00,"CALLE PADRES DOMINICOS, 1",,1,16,HORTALEZA,Alcance,Despejado,Autobús,Conductor,De 50 a 54 años,Mujer,444365,4483672,N
2025S034790,27/03/2025,11:10:00,"CALLE PADRES DOMINICOS, 1",,1,16,HORTALEZA,Alcance,Despejado,Turismo,Conductor,De 21 a 24 años,Hombre,444365,4483672,N
2025S034793,27/03/2025,12:40:00,"CALLE ANA DE AUSTRIA, 105",,105,16,HORTALEZA,Otro,Despejado,Turismo,Conductor,De 40 a 44 años,Mujer,444301,4483576,N
2025S034801,27/03/2025,12:00:00,"CALLE O'DONNELL, 53",,53,4,SALAMANCA,Alcance,Despejado,Turismo,Conductor,De 30 a 34 años,Hombre,442956,4474748,N
