CODI_PROVINCIA,PROVINCIA,CODI_MUNICIPI,MUNICIPI,ESTACIO,CODI_CONTAMINANT,ANY,MES,DIA,DATE,DATETIME,HOUR,VALUE,HOUR2D,VALIDATION
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T07:00:00Z,7,1,07,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T08:00:00Z,8,3,08,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T09:00:00Z,9,9,09,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T10:00:00Z,10,7,10,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T11:00:00Z,11,7,11,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T12:00:00Z,12,4,12,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T13:00:00Z,13,3,13,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T14:00:00Z,14,6,14,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T15:00:00Z,15,4,15,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T16:00:00Z,16,4,16,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T17:00:00Z,17,2,17,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T18:00:00Z,18,3,18,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T19:00:00Z,19,2,19,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T20:00:00Z,20,3,20,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T21:00:00Z,21,1,21,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T22:00:00Z,22,1,22,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T23:00:00Z,23,1,23,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,4,2025-08-04,2025-08-04T00:00:00Z,24,1,24,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T01:00:00Z,1,1,01,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T02:00:00Z,2,1,02,Valid
